permno,adate,qdate,public_date,bm,evm,pe_op_basic,pe_op_dil,pe_exi,ps,pcf,dpr,npm,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,inv_turn,at_turn,rect_turn,pay_turn,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER
10145,2021-12-31,2021-12-31,2022-03-31,0.147,20.666,22.263,22.547,24.599,3.851,21.937,0.473,0.161,0.197,0.366,0.21,0.199,0.123,0.273,0.169,0.225,0.307,0.161,0.307,0.489,0.195,0.541,0.44,0.601,0.449,0.021,0.016,0.255,0.203,0.276,0.32,2.609,0.268,0.431,0.334,0.405,0.31,0.134,0.852,6.947,0.721,0.701,0.594,2.435,17.157,19.735,4.529,0.533,4.905,3.67,1.852,5.865,0.039,0.0,0.0,-0.008,6.328,,2.01%,HON
10145,2021-12-31,2021-12-31,2022-04-30,0.147,20.666,22.141,22.423,24.464,3.83,21.817,0.473,0.161,0.197,0.366,0.21,0.199,0.123,0.273,0.169,0.225,0.307,0.161,0.307,0.489,0.195,0.541,0.44,0.601,0.449,0.021,0.016,0.255,0.203,0.276,0.32,2.609,0.268,0.431,0.334,0.405,0.31,0.134,0.852,6.947,0.721,0.701,0.594,2.435,17.157,19.735,4.529,0.533,4.905,3.67,1.852,5.865,0.039,0.0,0.0,-0.008,6.293,,2.03%,HON
10145,2021-12-31,2022-03-31,2022-05-31,0.157,20.607,22.052,22.306,25.713,3.841,25.864,0.506,0.153,0.197,0.381,0.2,0.19,0.125,0.257,0.17,0.225,0.29,0.153,0.29,0.516,0.204,0.537,0.449,0.633,0.455,0.022,0.016,0.252,0.2,0.285,0.335,2.681,0.291,0.43,0.335,0.41,0.262,0.134,0.832,7.019,0.739,0.708,0.604,2.494,16.53,20.05,4.185,0.536,4.752,3.533,1.888,5.852,0.049,0.0,0.0,0.002,6.351,,2.02%,HON
10145,2021-12-31,2022-03-31,2022-06-30,0.157,20.607,19.796,20.024,23.082,3.412,22.978,0.506,0.153,0.197,0.381,0.2,0.19,0.125,0.257,0.17,0.225,0.29,0.153,0.29,0.516,0.204,0.537,0.449,0.633,0.455,0.022,0.016,0.252,0.2,0.285,0.335,2.681,0.291,0.43,0.335,0.41,0.262,0.134,0.832,7.019,0.739,0.708,0.604,2.494,16.53,20.05,4.185,0.536,4.752,3.533,1.888,5.852,0.049,0.0,0.0,0.002,5.643,,2.26%,HON
10145,2021-12-31,2022-03-31,2022-07-31,0.157,20.607,21.92,22.173,25.559,3.779,25.443,0.506,0.153,0.197,0.381,0.2,0.19,0.125,0.257,0.17,0.225,0.29,0.153,0.29,0.516,0.204,0.537,0.449,0.633,0.455,0.022,0.016,0.252,0.2,0.285,0.335,2.681,0.291,0.43,0.335,0.41,0.262,0.134,0.832,7.019,0.739,0.708,0.604,2.494,16.53,20.05,4.185,0.536,4.752,3.533,1.888,5.852,0.049,0.0,0.0,0.002,6.248,,2.04%,HON
10145,2021-12-31,2022-06-30,2022-08-31,0.17,19.309,21.444,21.64,25.832,3.702,27.689,0.528,0.147,0.199,0.395,0.194,0.183,0.126,0.247,0.173,0.225,0.279,0.151,0.279,0.556,0.214,0.549,0.433,0.633,0.441,0.024,0.016,0.234,0.213,0.298,0.328,2.589,0.316,0.444,0.318,0.404,0.231,0.134,0.82,7.006,0.697,0.707,0.6,2.484,15.854,20.026,3.942,0.542,4.65,3.454,1.906,6.946,0.06,0.0,0.0,0.007,6.39,,2.07%,HON
10145,2021-12-31,2022-06-30,2022-09-30,0.17,19.309,18.909,19.082,22.779,3.258,24.367,0.528,0.147,0.199,0.395,0.194,0.183,0.126,0.247,0.173,0.225,0.279,0.151,0.279,0.556,0.214,0.549,0.433,0.633,0.441,0.024,0.016,0.234,0.213,0.298,0.328,2.589,0.316,0.444,0.318,0.404,0.231,0.134,0.82,7.006,0.697,0.707,0.6,2.484,15.854,20.026,3.942,0.542,4.65,3.454,1.906,6.946,0.06,0.0,0.0,0.007,5.624,,2.35%,HON
10145,2021-12-31,2022-06-30,2022-10-31,0.17,19.309,23.105,23.317,27.834,3.981,29.774,0.528,0.147,0.199,0.395,0.194,0.183,0.126,0.247,0.173,0.225,0.279,0.151,0.279,0.556,0.214,0.549,0.433,0.633,0.441,0.024,0.016,0.234,0.213,0.298,0.328,2.589,0.316,0.444,0.318,0.404,0.231,0.134,0.82,7.006,0.697,0.707,0.6,2.484,15.854,20.026,3.942,0.542,4.65,3.454,1.906,6.946,0.06,0.0,0.0,0.007,6.871,,1.92%,HON
10145,2021-12-31,2022-09-30,2022-11-30,0.179,17.744,24.233,24.394,28.111,4.225,26.496,0.503,0.154,0.201,0.408,0.2,0.188,0.129,0.263,0.181,0.225,0.297,0.163,0.297,0.618,0.228,0.556,0.423,0.61,0.432,0.026,0.018,0.216,0.226,0.31,0.316,2.404,0.306,0.442,0.313,0.424,0.287,0.134,0.855,6.909,0.671,0.701,0.591,2.432,16.357,20.083,3.814,0.558,4.694,3.377,1.936,7.581,0.07,0.0,0.0,-0.003,7.339,,1.88%,HON
10145,2021-12-31,2022-09-30,2022-12-31,0.179,17.744,23.653,23.811,27.439,4.095,25.681,0.503,0.154,0.201,0.408,0.2,0.188,0.129,0.263,0.181,0.225,0.297,0.163,0.297,0.618,0.228,0.556,0.423,0.61,0.432,0.026,0.018,0.216,0.226,0.31,0.316,2.404,0.306,0.442,0.313,0.424,0.287,0.134,0.855,6.909,0.671,0.701,0.591,2.432,16.357,20.083,3.814,0.558,4.694,3.377,1.936,7.581,0.07,0.0,0.0,-0.003,7.113,,1.92%,HON
